Organism	Uniprot	Protein name	Secretion	CAZy	Enzyme type	Substrate details	H2O2 type	MEROPS	Bagasse1	Bagasse2	Bagasse3	Birch1	Birch2	Birch3	Spruce1	Spruce2	Spruce3	Cellulose1	Cellulose2	Cellulose3	Glucose1	Glucose2	Glucose3	Peptides	Unique peptides	Score	MS/MS count	Majority protein IDs	EC	GO
m.thermophila	O74240	Carbohydrate-binding module family 1 protein	Y	AA3_1;CBM1	CDH	cellulose	Producer		6.95	7.29	6.68	6.89	6.60	6.96	5.11	5.41	5.13	7.23	7.24	6.54				38	38	323.31	3017	tr|O74240|O74240_MYCTT	EC 1.1.99.18	carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CFL8	Uncharacterized protein	Y	AA3_2	Oxidase	lignin	Producer											-1.87	-1.68	-2.67				5	5	21.506	17	tr|Q0CFL8|Q0CFL8_ASPTN		
m.thermophila	G2PZJ2	GMC oxidoreductase-like protein	Y	AA3_2	Oxidase	lignin	Producer		0.03	0.28	-0.02	0.91	0.35	0.52	0.16	0.06	-0.40	0.26	0.00	-0.80				13	13	152.61	220	tr|G2PZJ2|G2PZJ2_MYCTT		
m.thermophila	G2QDZ2	GMC oxidoreductase-like protein	Y	AA3_2	Oxidase	lignin	Producer		-0.86	-1.02														6	6	37.045	33	tr|G2QDZ2|G2QDZ2_MYCTT		
a.terreus	Q0CMZ3	Neutral protease 2 homolog ATEG_04941	Y					MA-M35	1.87	1.98	2.16		1.79	2.28	2.05	2.36	0.96	3.50	3.59	3.09				2	2	323.31	268	sp|Q0CMZ3|NPIIA_ASPTN	EC 3.4.24.39	
m.thermophila	G2QKM4	Uncharacterized protein	N	AA3_2	Oxidase	lignin	Producer		1.10	1.89	1.35		0.72	-0.03										10	10	72.952	60	tr|G2QKM4|G2QKM4_MYCTT		
p.chrysosporium	2762166594	alcohol oxidase	N	AA3_3	Oxidase	lignin	Producer		1.21	-4.24		-4.41												16	16	154.63	60	2762166594		oxidation-reduction process
h.jecorina	G0RXI7	Predicted protein	Y	AA5	Oxidase		Producer		-1.10	-1.35	-0.76							1.97	-0.63	-0.14				12	12	138.02	82	tr|G0RXI7|G0RXI7_HYPJQ		
m.thermophila	G2Q335	Glyoxal oxidase like protein	Y	AA5_1	Oxidase	lignin	Producer		0.38	0.99	-0.40	-0.29	0.02	0.19	-0.24	-0.72	-0.89	0.40	0.86	0.05	3.66	2.82	1.90	13	13	204.13	222	tr|G2Q335|G2Q335_MYCTT		
p.chrysosporium	2762165280	Copper radical oxidase	Y	AA5_1	Oxidase	lignin	Producer		3.71	3.78	4.18	4.74	4.09	3.18		0.86	-0.81							19	19	323.31	1265	2762165280		
p.chrysosporium	2762169585	Copper radical oxidase	Y	AA5_1	Oxidase	lignin	Producer		-2.62	-2.35	-2.59					-2.39								4	4	69.411	35	2762169585		
a.terreus	Q0CF36	Uncharacterized protein	Y	AA7	Oxidase	cellulose	Producer			-1.95								-0.10	0.34	-0.76				11	11	127.72	80	tr|Q0CF36|Q0CF36_ASPTN		
a.terreus	Q0CF74	Uncharacterized protein	Y	AA7	Oxidase	cellulose	Producer		1.62									3.70	3.99	4.79				17	17	323.31	275	tr|Q0CF74|Q0CF74_ASPTN		
h.jecorina	G0R6T3	Predicted protein	Y	AA7	Oxidase	cellulose	Producer											2.27	3.54	2.96				10	10	323.31	161	tr|G0R6T3|G0R6T3_HYPJQ		
h.jecorina	G0REA0	Uncharacterized protein	N	AA7	Oxidase	cellulose	Producer												-1.51	-2.03				2	2	12.172	3	tr|G0REA0|G0REA0_HYPJQ		
h.jecorina	G0RII9	Predicted protein	Y	AA7	Oxidase	cellulose	Producer											-1.20	-1.24	-1.93				2	2	19.33	15	tr|G0RII9|G0RII9_HYPJQ		
m.thermophila	G2Q654	Uncharacterized protein	Y	AA7	Oxidase	cellulose	Producer											-3.02	-3.21					4	4	51.293	19	tr|G2Q654|G2Q654_MYCTT		
m.thermophila	G2QDQ9	Uncharacterized protein	Y	AA7	Oxidase	cellulose	Producer															0.20	-0.57	2	2	5.8097	9	tr|G2QDQ9|G2QDQ9_MYCTT		
m.thermophila	G2QG48	FAD linked oxidase-like protein	Y	AA7	Oxidase	cellulose	Producer											-3.00	-3.53					5	5	8.7549	9	tr|G2QG48|G2QG48_MYCTT		
m.thermophila	G2QLF1	Uncharacterized protein	N	AA7	Oxidase	cellulose	Producer		-1.82									-1.68	-1.81	-0.55				5	5	49.058	22	tr|G2QLF1|G2QLF1_MYCTT		
m.thermophila	G2QNS9	Cellobiose dehydrogenase	Y	AA8	Cytochrome		electron transfer		0.04	0.26	-1.10	-0.85	-0.68	-0.31										6	6	43.619	30	tr|G2QNS9|G2QNS9_MYCTT	EC 1.1.99.18	
a.terreus	Q0C8H2	Uncharacterized protein	Y					SC-S28										-2.66	-2.99	-1.86				5	5	10.104	7	tr|Q0C8H2|Q0C8H2_ASPTN		
p.chrysosporium	2762169415	Cellobiose dehydrogenase	Y	AA8	Cytochrome		electron transfer		5.16	4.83	4.93	4.50	4.04	2.82	2.04	5.53	5.23	4.26	3.31	1.96				17	17	323.31	1178	2762169415		oxidation-reduction process
a.terreus	Q0C8J1	Uncharacterized protein	Y	AA8;AA8	Cytochrome		electron transfer		1.74	1.24	1.64		1.23	1.71	2.04	1.46	1.43	4.07	2.59	3.82				13	13	323.31	389	tr|Q0C8J1|Q0C8J1_ASPTN		
a.terreus	Q0C912	Lipase	Y						-0.44	1.61	-0.56		1.04	0.75	0.14	0.68	0.60	1.61	1.44	1.14				13	13	184.01	234	tr|Q0C912|Q0C912_ASPTN		lipid catabolic process [GO:0016042]
a.terreus	Q0CJQ7	Uncharacterized protein	Y	AA9	LPMO	cellulose	Consumer											-2.51		-2.82				3	3	20.175	7	tr|Q0CJQ7|Q0CJQ7_ASPTN		
a.terreus	Q0C9A9	Uncharacterized protein	Y																		2.61	1.65		4	4	127.8	51	tr|Q0C9A9|Q0C9A9_ASPTN		
a.terreus	Q0CAE1	Carboxypeptidase	Y					SC-S10										-3.29	-2.18	-2.22				6	6	14.855	12	tr|Q0CAE1|Q0CAE1_ASPTN	EC 3.4.16.-	
a.terreus	Q0CAX7	Uncharacterized protein	Y						-0.84	-0.66	-0.64		-0.40	0.89	-1.32	-0.66		0.40	0.60	-0.47				2	2	323.31	94	tr|Q0CAX7|Q0CAX7_ASPTN		
a.terreus	Q0CAZ7	Peptide hydrolase	Y					MH-M28	-2.84	-1.10	-2.49		-0.73	-1.01				-2.14	-1.35	-0.58				6	6	73.094	37	tr|Q0CAZ7|Q0CAZ7_ASPTN	EC 3.4.-.-	
a.terreus	Q0CB64	Uncharacterized protein	Y																		-1.06	-0.92		2	2	33.641	12	tr|Q0CB64|Q0CB64_ASPTN		
a.terreus	Q0CLL8	Endoglucanase IV	Y	AA9	LPMO	cellulose	Consumer		3.18	3.04	3.13		2.72	2.53	3.45	3.38	2.80	5.35	4.40	4.77				4	4	66.441	236	tr|Q0CLL8|Q0CLL8_ASPTN		
h.jecorina	Q7Z9M7	Endoglucanase-7	Y	AA9	LPMO	cellulose	Consumer		1.35	0.74	1.48				1.35	0.86	1.39	3.42	3.20	3.20				4	4	323.31	305	sp|Q7Z9M7|GUN7_HYPJQ	EC 3.2.1.4	cellulose catabolic process [GO:0030245]
m.thermophila	G2Q2F7	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		-0.18	-0.19	-0.62	-0.63	-1.19	-0.51										4	4	152.69	71	tr|G2Q2F7|G2Q2F7_MYCTT		
m.thermophila	G2Q7A5	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		0.95	0.45	-0.42	-0.05	-0.41	0.20	-2.72	-1.50	-1.23	0.07	0.11	-0.10				5	5	170.32	121	tr|G2Q7A5|G2Q7A5_MYCTT		
m.thermophila	G2QA92	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		3.65	3.85	2.66	2.64	2.59	2.94	1.58	1.89	2.06	1.36	1.58	1.44				7	7	206.35	323	tr|G2QA92|G2QA92_MYCTT		
a.terreus	Q0CE26	Uncharacterized protein	Y															-1.50		-1.53				5	5	12.954	16	tr|Q0CE26|Q0CE26_ASPTN		
a.terreus	Q0CEL6	Uncharacterized protein	Y						-0.31	0.90	0.03		-0.37	-0.01	-0.43	0.50	-0.47	-2.04						11	11	175.18	126	tr|Q0CEL6|Q0CEL6_ASPTN		L-arabinose metabolic process [GO:0046373]
m.thermophila	G2QAB5	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		0.82	1.29	0.91	1.05	0.69	1.09		-2.98		-1.03	-0.80	-1.22				4	4	119.27	83	tr|G2QAB5|G2QAB5_MYCTT		
a.terreus	Q0CES7	Uncharacterized protein	Y																		-2.48	-2.85		2	2	4.1225	2	tr|Q0CES7|Q0CES7_ASPTN		
m.thermophila	G2QI82	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		2.74	3.11	2.22	3.66	3.42	3.76	1.68	2.14	2.11	2.69	2.93	2.33				4	4	323.31	469	tr|G2QI82|G2QI82_MYCTT		
a.terreus	Q0CF08	Thioredoxin	N															-1.50	-2.51	-2.97				2	2	5.8323	4	tr|Q0CF08|Q0CF08_ASPTN		cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662]
m.thermophila	G2QJT0	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		3.28	3.29	2.31	2.89	2.08	2.42	0.07	0.00	-0.52	-1.08	-1.11	-1.49				6	5	323.31	225	tr|G2QJT0|G2QJT0_MYCTT		
m.thermophila	G2QLE4	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		0.97	1.40	0.44	1.58	1.50	1.89	0.65	0.85	1.12	-1.25	-1.03					4	4	127.06	160	tr|G2QLE4|G2QLE4_MYCTT		
a.terreus	Q0CFC5	ATP synthase subunit beta	N																		-2.24	-2.82		4	4	18.84	9	tr|Q0CFC5|Q0CFC5_ASPTN;sp|Q0C9L8|CTVE_ASPTN	EC 3.6.3.14	ATP synthesis coupled proton transport [GO:0015986]
m.thermophila	G2QNT0	Glycoside hydrolase family 61 protein	Y	AA9	LPMO	cellulose	Consumer		4.40	4.56	3.48	4.28	3.84	4.30	2.09	2.41	2.25	2.99	3.38	2.88				9	8	323.31	409	tr|G2QNT0|G2QNT0_MYCTT		
a.terreus	Q0CFQ7	Catalase	Y							-1.86	-2.38		0.32		-1.18	-0.22	-0.08	0.98		1.24				21	21	323.31	114	tr|Q0CFQ7|Q0CFQ7_ASPTN	EC 1.11.1.6	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
n.crassa	Q1K8B6	Endoglucanase II	Y	AA9	LPMO	cellulose	Consumer					-0.91	-1.00	-1.60										3	3	108.3	33	tr|Q1K8B6|Q1K8B6_NEUCR		
n.crassa	Q7SA19	Endoglucanase IV	Y	AA9	LPMO	cellulose	Consumer						1.66	0.10										2	2	323.31	20	tr|Q7SA19|Q7SA19_NEUCR		
a.terreus	Q0CG19	Carboxypeptidase	N					SC-S10													-0.87	-1.68		6	6	28.388	13	tr|Q0CG19|Q0CG19_ASPTN	EC 3.4.16.-	
a.terreus	Q0CG22	Uncharacterized protein	Y																		-1.91	-3.66		2	2	4.3962	7	tr|Q0CG22|Q0CG22_ASPTN		
p.chrysosporium	2762161515	hypothetical protein	Y	AA9	LPMO	cellulose	Consumer		6.53	6.73	6.16	5.69	4.89	4.01	2.53	7.11	7.23							9	9	323.31	1228	2762161515	EC 3.2.1.4	
p.chrysosporium	2762165976	glycoside hydrolase family 61 protein D	Y	AA9	LPMO	cellulose	Consumer		0.58	0.76	-0.13	0.62	-0.51			3.46	3.16	5.86	4.53	-0.57				3	3	323.31	344	2762165976	EC 3.2.1.4	
a.terreus	Q0CGR7	Uncharacterized protein	Y							-0.27	-2.52						-1.70	-0.29	0.45	-0.15	-0.64	0.31		4	4	49.561	100	tr|Q0CGR7|Q0CGR7_ASPTN		
a.terreus	Q0CH63	Uncharacterized protein	Y															-0.77	-0.42	-0.84				6	6	12.689	19	tr|Q0CH63|Q0CH63_ASPTN		
p.chrysosporium	2762165978	hypothetical protein	Y	AA9	LPMO	cellulose	Consumer		0.26	0.69	0.77	0.07	-0.03	-1.35		1.92	1.65							2	2	54.757	150	2762165978	EC 3.2.1.4	
a.terreus	Q0CIE1	Superoxide dismutase [Cu-Zn]	Y																-1.83	-2.47				4	4	9.7992	15	tr|Q0CIE1|Q0CIE1_ASPTN	EC 1.15.1.1	
a.terreus	Q0CJF2	Aspergillopepsin F	Y					AA-A1										-1.20	-1.70		1.48	1.21		8	8	232.22	61	tr|Q0CJF2|Q0CJF2_ASPTN		
p.chrysosporium	2762165979	hypothetical protein	Y	AA9	LPMO	cellulose	Consumer									-1.48	-1.90							3	3	61.038	22	2762165979	EC 3.2.1.4	
p.chrysosporium	2762168026	expressed protein	N	AA9	LPMO	cellulose	Consumer		-0.88	-0.23	-1.98	-0.83	-1.62			-0.48								2	2	125.61	64	2762168026	EC 3.2.1.4	
a.terreus	Q0CK20	Uncharacterized protein	Y						-1.44	-1.11	-0.80		-1.22	-0.69	-0.72	-1.92	-2.33	-0.36	-0.53	-0.21				7	7	76.427	132	tr|Q0CK20|Q0CK20_ASPTN		
h.jecorina	G0R6T8	Glycoside hydrolase family 61	Y	AA9;CBM1	LPMO	cellulose	Consumer		5.66	5.23	5.61	5.56	5.48	5.63	4.89	4.77	5.19	8.65	6.74	6.52				2	2	110.8	467	tr|G0R6T8|G0R6T8_HYPJQ		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CL85	Uncharacterized protein	Y										-2.04	-1.50				-1.45			0.11	-2.55		6	6	176.56	28	tr|Q0CL85|Q0CL85_ASPTN		
a.terreus	Q0CLA1	Uncharacterized protein	Y										-1.26	-0.89	-2.21		-2.54	-1.68	-1.70	-1.30				4	4	32.521	49	tr|Q0CLA1|Q0CLA1_ASPTN		
m.thermophila	G2Q9F7	Glycoside hydrolase family 61 protein	Y	AA9;CBM1	LPMO	cellulose	Consumer		3.85	4.28	3.59	3.53	3.37	3.59	1.54	1.55	1.58	4.02	4.08	3.50				5	5	193.06	285	tr|G2Q9F7|G2Q9F7_MYCTT		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QCJ3	Glycoside hydrolase family 61 protein	Y	AA9;CBM1	LPMO	cellulose	Consumer		5.66	5.89	4.88	6.02	5.47	5.96	3.27	3.66	3.54	5.04	4.56	4.12				7	7	323.31	814	tr|G2QCJ3|G2QCJ3_MYCTT		carbohydrate metabolic process [GO:0005975]
n.crassa	Q7S439	Endoglucanase II	Y	AA9;CBM1	LPMO	cellulose	Consumer					0.48	-0.27	-0.09										3	3	56.447	21	tr|Q7S439|Q7S439_NEUCR		carbohydrate metabolic process [GO:0005975]
n.crassa	Q7SHI8	Endoglucanase II	Y	AA9;CBM1	LPMO	cellulose	Consumer		-1.06	-3.00	-2.19					-1.45								4	4	49.766	19	tr|Q7SHI8|Q7SHI8_NEUCR		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CNF3	Uncharacterized protein	Y						2.12	2.74	2.05		2.20	2.93	2.12	2.01	2.14	4.13	3.27	3.53	5.32	5.27		10	10	323.31	558	tr|Q0CNF3|Q0CNF3_ASPTN		
p.chrysosporium	2762164312	family 61 endoglucanase	Y	AA9;CBM1	LPMO	cellulose	Consumer		-0.17	0.14	-0.50	-1.48	-1.68			0.44	0.45							4	4	18.664	63	2762164312	EC 3.2.1.4	carbohydrate metabolic process
p.chrysosporium	2762165922	hypothetical protein	Y	AA9;CBM1	LPMO	cellulose	Consumer		2.56	3.08	2.51	1.99	1.46	0.71		3.19	3.51	3.29	1.59					1	1	110.61	189	2762165922	EC 3.2.1.4	carbohydrate metabolic process
p.chrysosporium	2762168484	hypothetical protein	Y	AA9;CBM1	LPMO	cellulose	Consumer		1.63	1.58	0.56	0.67	0.12			2.47	-0.65							2	2	239.55	146	2762168484	EC 3.2.1.4	carbohydrate metabolic process
a.terreus	Q0CPZ0	Uncharacterized protein	Y																		-0.33	-0.59		2	2	52.659	11	tr|Q0CPZ0|Q0CPZ0_ASPTN		
h.jecorina	G0R6T7	Carbohydrate-binding module family 1	Y	CBM1	CBM_only				3.28	3.44	4.87	1.73	3.52	2.13	3.29	1.94	3.72	6.74	4.88	5.73				2	2	323.31	328	tr|G0R6T7|G0R6T7_HYPJQ		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CQE9	Uncharacterized protein	Y						-1.18	-0.83	-1.07			-2.42	-1.17	-1.69	-0.81	-1.36		-1.83				8	8	27.106	65	tr|Q0CQE9|Q0CQE9_ASPTN		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CR38	Uncharacterized protein	Y															-2.01		-2.73				1	1	15.301	10	tr|Q0CR38|Q0CR38_ASPTN		
h.jecorina	G0RVK3	Non-Catalytic module family expansin	Y	CBM1	CBM_only				0.21	0.50	1.26	-1.20	0.01		-0.36	-0.17	0.39	6.15	4.01	4.30				8	8	323.31	249	tr|G0RVK3|G0RVK3_HYPJQ		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2QI84	Carbohydrate-binding module family 1 protein	N	CBM1	CBM_only				3.58	3.91	3.42	3.44	2.79	3.59	1.23	1.74	1.50	4.25	4.43	4.22				5	5	323.31	538	tr|G2QI84|G2QI84_MYCTT		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CTK8	Uncharacterized protein	N						-1.46	-0.92	-1.19		-1.39	-0.67	-1.34	-0.43	-0.94	-0.11	-0.72	-1.16				11	11	77.68	112	tr|Q0CTK8|Q0CTK8_ASPTN		
p.chrysosporium	2762164616	Carbohydrate-Binding Module Family 1 protein	N	CBM1	CBM_only			SB-S8	0.04	0.61	-0.12	-0.18	0.29	-2.12		2.06	1.63	1.05	-0.87					2	2	58.329	270	2762164616		carbohydrate metabolic process
a.terreus	Q0CUE6	Uncharacterized protein	Y						0.33	1.37	0.43		0.23	0.32	0.26	0.95	0.97	1.42	1.30	0.54				18	18	323.31	257	tr|Q0CUE6|Q0CUE6_ASPTN		
p.chrysosporium	2762165332	Carbohydrate-Binding Module Family 1 protein	Y	CBM1	CBM_only				-0.50		0.33	-0.73	-1.49	-3.30		0.76	-0.56	-1.34	-3.53					1	1	265.57	57	2762165332		carbohydrate metabolic process
a.terreus	Q0CEU4	Probable endo-beta-1,4-glucanase D (Endoglucanase D)	Y	CBM1;AA9	LPMO	cellulose	Consumer			-3.21	-1.88							-2.56	-2.80					3	3	83.663	40	sp|Q0CEU4|EGLD_ASPTN	EC 3.2.1.4	cellulose catabolic process [GO:0030245]
a.terreus	Q0CQ24	Uncharacterized protein	Y	CBM1;AA9	LPMO	cellulose	Consumer		0.36	1.51	0.38		-0.46		0.54	0.51	0.13	1.38	0.97	1.39				1	1	323.31	126	tr|Q0CQ24|Q0CQ24_ASPTN		carbohydrate metabolic process [GO:0005975]
m.thermophila	G2Q9T3	Polysaccharide monooxygenase Cel61a	Y	CBM1;AA9	LPMO	cellulose	Consumer		2.99	3.50	3.24	3.87	3.65	3.91	2.21	2.05	2.12	2.47	2.34	1.85				6	6	178.59	376	sp|G2Q9T3|CEL61_MYCTT	EC 1.13.-.-	cellulose catabolic process [GO:0030245]
a.terreus	Q0CVY4	Uncharacterized protein	Y					SB-S53										0.02	0.01	-0.19				8	8	52.335	45	tr|Q0CVY4|Q0CVY4_ASPTN		
m.thermophila	G2Q4M0	Glycoside hydrolase family 61 protein	Y	CBM1;AA9	LPMO	cellulose	Consumer		3.09	3.36	2.79	3.31	2.42	2.82	0.28	0.88	0.91	2.56	2.85	1.48				5	5	323.31	358	tr|G2Q4M0|G2Q4M0_MYCTT		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CX14	Uncharacterized protein	Y						-1.56	-2.15	-0.25		-0.43	-0.77	-0.35	-3.23	-3.60							9	9	65.217	72	tr|Q0CX14|Q0CX14_ASPTN		
a.terreus	Q0CXA9	Uncharacterized protein	Y						-0.81	-0.83								1.01	-0.56	1.21				8	8	323.31	81	tr|Q0CXA9|Q0CXA9_ASPTN		
n.crassa	Q7RWN7	Endoglucanase II	Y	CBM1;AA9	LPMO	cellulose	Consumer					-0.32	-1.40	-2.01										3	3	81.918	30	tr|Q7RWN7|Q7RWN7_NEUCR		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0CYJ2	Allergen Asp f 15	Y																		1.05	2.47		3	3	98.906	45	tr|Q0CYJ2|Q0CYJ2_ASPTN		
p.chrysosporium	2762164277	cellulose-growth-specific protein	Y	CBM1;AA9	LPMO	cellulose	Consumer		-0.15	0.12	-0.84	-1.02	-1.04			2.17	0.32		-2.72					1	1	69.237	124	2762164277	EC 3.2.1.4	carbohydrate metabolic process
p.chrysosporium	2762168482	hypothetical protein	Y	CBM1;AA9	LPMO	cellulose	Consumer		-2.11							1.12	-0.77							3	3	323.31	29	2762168482	EC 3.2.1.4	carbohydrate metabolic process
a.terreus	Q0CWM0	Uncharacterized protein	Y	CBM1;CE1	esterase	feruloyl esterase			1.63	1.22	1.87		0.83	0.14	1.87	0.31	0.34	1.03	1.26	1.23				3	3	207.92	335	tr|Q0CWM0|Q0CWM0_ASPTN		carbohydrate metabolic process [GO:0005975]
h.jecorina	G0RV93	4-O-methyl-glucuronoyl methylesterase	Y	CBM1;CE15	esterase	methyl esterase			3.36	3.51	3.91	2.99	3.04	3.23	2.57	2.54	2.70	2.41	3.56	3.66				6	6	276.23	453	sp|G0RV93|GCE_HYPJQ	EC 3.1.1.-	carbohydrate metabolic process [GO:0005975]; lignin catabolic process [GO:0046274]
p.chrysosporium	2762171709	Carbohydrate Esterase Family 15 protein	Y	CBM1;CE15	esterase	methyl esterase		SC-S9	4.75	5.15	4.85	4.04	3.36	2.13	-0.10	4.93	5.63							5	5	323.31	532	2762171709		carbohydrate metabolic process
a.terreus	Q0CNM5	Acetylxylan esterase	Y	CBM1;CE5	esterase	acetyl esterase			2.47	1.77	2.81		2.19	2.17	2.97		1.50	2.09	1.62	1.85				2	2	18.53	206	tr|Q0CNM5|Q0CNM5_ASPTN		carbohydrate metabolic process [GO:0005975]
h.jecorina	G0R6T6	Carbohydrate esterase family 5	Y	CBM1;CE5	esterase	acetyl esterase												5.96	5.23	4.96				3	3	23.966	143	tr|G0R6T6|G0R6T6_HYPJQ		carbohydrate metabolic process [GO:0005975]
a.terreus	Q0D182	Uncharacterized protein	Y					GA-G1										-2.52	-1.91	-2.76	5.15	2.04		3	3	116.24	48	tr|Q0D182|Q0D182_ASPTN		
a.terreus	Q0CSC4	Beta-xylanase	Y	CBM1;GH10	GH	xylan			5.30	4.87	5.31	0.15	4.54	4.67	5.42	4.49	4.09	5.55	5.34	5.60				11	11	323.31	1183	tr|Q0CSC4|Q0CSC4_ASPTN	EC 3.2.1.8	xylan catabolic process [GO:0045493]
m.thermophila	G2QJ91	Beta-xylanase	Y	CBM1;GH10	GH	xylan			6.76	7.27	6.35	6.34	6.10	6.47	3.42	3.55	3.56	5.16	5.12	5.22				14	14	323.31	1407	tr|G2QJ91|G2QJ91_MYCTT	EC 3.2.1.8	polysaccharide catabolic process [GO:0000272]
p.chrysosporium	2762163891	Glycoside Hydrolase Family 10 protein	Y	CBM1;GH10	GH	xylan			3.27	2.66	2.24	1.15	1.35	-0.31	-1.28	3.67	2.84							10	8	323.31	299	2762163891		carbohydrate metabolic process
m.thermophila	G2Q913	Endo-1,4-beta-xylanase	Y	CBM1;GH11	GH	xylan			6.95	7.11	5.33	5.97	5.70	6.12	2.77	3.49	3.31	2.55	2.76	2.97				9	8	323.31	773	tr|G2Q913|G2Q913_MYCTT	EC 3.2.1.8	xylan catabolic process [GO:0045493]
p.chrysosporium	2762165543	endo-1,4-B-xylanase B	Y	CBM1;GH11	GH	xylan			3.71	4.02	3.09	2.37	2.06	0.17		5.41	5.34	4.64	3.75					4	4	323.31	763	2762165543		carbohydrate metabolic process
